claim_id,location,claim_type,value_paper,needs_block,digits
t2_e1_control,Table 2,pipeline,16,TRUE,0
t2_e1_adjacent,Table 2,pipeline,49,TRUE,0
t2_e1_treated,Table 2,pipeline,23,TRUE,0
t2_e1_total,Table 2,pipeline,88,TRUE,0
t2_e2_control,Table 2,pipeline,13,TRUE,0
t2_e2_adjacent,Table 2,pipeline,41,TRUE,0
t2_e2_treated,Table 2,pipeline,15,TRUE,0
t2_e2_total,Table 2,pipeline,69,TRUE,0
t2_e3_control,Table 2,pipeline,25,TRUE,0
t2_e3_adjacent,Table 2,pipeline,76,TRUE,0
t2_e3_treated,Table 2,pipeline,30,TRUE,0
t2_e3_total,Table 2,pipeline,131,TRUE,0
t2_e4_control,Table 2,pipeline,24,TRUE,0
t2_e4_adjacent,Table 2,pipeline,44,TRUE,0
t2_e4_treated,Table 2,pipeline,20,TRUE,0
t2_e4_total,Table 2,pipeline,88,TRUE,0
t3_m1_treated_coef,Table 3,pipeline,0.025,TRUE,3
t3_m1_treated_se,Table 3,pipeline,0.027,TRUE,3
t3_m2_treated_coef,Table 3,pipeline,0.025,TRUE,3
t3_m2_treated_se,Table 3,pipeline,0.017,TRUE,3
t3_m1_adjacent_coef,Table 3,pipeline,0.037,TRUE,3
t3_m1_adjacent_se,Table 3,pipeline,0.027,TRUE,3
t3_m2_adjacent_coef,Table 3,pipeline,0.018,TRUE,3
t3_m2_adjacent_se,Table 3,pipeline,0.016,TRUE,3
t3_m1_constant_coef,Table 3,pipeline,0.390,TRUE,3
t3_m1_constant_se,Table 3,pipeline,0.020,TRUE,3
t3_m2_constant_coef,Table 3,pipeline,0.015,TRUE,3
t3_m2_constant_se,Table 3,pipeline,0.031,TRUE,3
t4_m1_treated_coef,Table 4,pipeline,0.009,TRUE,3
t4_m1_treated_se,Table 4,pipeline,0.054,TRUE,3
t4_m2_treated_coef,Table 4,pipeline,-0.014,TRUE,3
t4_m2_treated_se,Table 4,pipeline,0.057,TRUE,3
t4_m1_adjacent_coef,Table 4,pipeline,0.012,TRUE,3
t4_m1_adjacent_se,Table 4,pipeline,0.046,TRUE,3
t4_m2_adjacent_coef,Table 4,pipeline,0.004,TRUE,3
t4_m2_adjacent_se,Table 4,pipeline,0.045,TRUE,3
t4_m1_constant_coef,Table 4,pipeline,0.659,TRUE,3
t4_m1_constant_se,Table 4,pipeline,0.039,TRUE,3
t4_m2_constant_coef,Table 4,pipeline,0.287,TRUE,3
t4_m2_constant_se,Table 4,pipeline,0.131,TRUE,3
t5_m1_treated_coef,Table 5,pipeline,0.042,TRUE,3
t5_m1_treated_se,Table 5,pipeline,0.016,TRUE,3
t5_m2_treated_coef,Table 5,pipeline,0.018,TRUE,3
t5_m2_treated_se,Table 5,pipeline,0.009,TRUE,3
t5_m1_adjacent_coef,Table 5,pipeline,0.042,TRUE,3
t5_m1_adjacent_se,Table 5,pipeline,0.013,TRUE,3
t5_m2_adjacent_coef,Table 5,pipeline,0.018,TRUE,3
t5_m2_adjacent_se,Table 5,pipeline,0.007,TRUE,3
t5_m1_constant_coef,Table 5,pipeline,0.302,TRUE,3
t5_m1_constant_se,Table 5,pipeline,0.011,TRUE,3
t5_m2_constant_coef,Table 5,pipeline,0.780,TRUE,3
t5_m2_constant_se,Table 5,pipeline,0.025,TRUE,3
t6_m1_treated_coef,Table 6,pipeline,-0.013,TRUE,3
t6_m1_treated_se,Table 6,pipeline,0.028,TRUE,3
t6_m2_treated_coef,Table 6,pipeline,-0.012,TRUE,3
t6_m2_treated_se,Table 6,pipeline,0.026,TRUE,3
t6_m1_adjacent_coef,Table 6,pipeline,-0.023,TRUE,3
t6_m1_adjacent_se,Table 6,pipeline,0.022,TRUE,3
t6_m2_adjacent_coef,Table 6,pipeline,-0.020,TRUE,3
t6_m2_adjacent_se,Table 6,pipeline,0.021,TRUE,3
t6_m1_constant_coef,Table 6,pipeline,0.548,TRUE,3
t6_m1_constant_se,Table 6,pipeline,0.017,TRUE,3
t6_m2_constant_coef,Table 6,pipeline,0.532,TRUE,3
t6_m2_constant_se,Table 6,pipeline,0.082,TRUE,3
t3_m1_n,Table 3,pipeline,88,TRUE,0
t3_m2_n,Table 3,pipeline,88,TRUE,0
t3_m1_r2,Table 3,pipeline,0.031,TRUE,3
t3_m2_r2,Table 3,pipeline,0.823,TRUE,3
t3_label_n_treated,Table 3,pipeline,23,TRUE,0
t3_label_n_adjacent,Table 3,pipeline,49,TRUE,0
t4_m1_n,Table 4,pipeline,69,TRUE,0
t4_m2_n,Table 4,pipeline,69,TRUE,0
t4_m1_r2,Table 4,pipeline,0.001,TRUE,3
t4_m2_r2,Table 4,pipeline,0.253,TRUE,3
t4_label_n_treated,Table 4,pipeline,15,TRUE,0
t4_label_n_adjacent,Table 4,pipeline,41,TRUE,0
t5_m1_n,Table 5,pipeline,131,TRUE,0
t5_m2_n,Table 5,pipeline,131,TRUE,0
t5_m1_r2,Table 5,pipeline,0.094,TRUE,3
t5_m2_r2,Table 5,pipeline,0.825,TRUE,3
t5_label_n_treated,Table 5,pipeline,30,TRUE,0
t5_label_n_adjacent,Table 5,pipeline,76,TRUE,0
t6_m1_n,Table 6,pipeline,88,TRUE,0
t6_m2_n,Table 6,pipeline,88,TRUE,0
t6_m1_r2,Table 6,pipeline,0.012,TRUE,3
t6_m2_r2,Table 6,pipeline,0.172,TRUE,3
t6_label_n_treated,Table 6,pipeline,20,TRUE,0
t6_label_n_adjacent,Table 6,pipeline,44,TRUE,0
t7_direct_e1_coef,Table 7,pipeline,0.025,TRUE,3
t7_direct_e1_se,Table 7,pipeline,0.017,TRUE,3
t7_indirect_e1_coef,Table 7,pipeline,0.018,TRUE,3
t7_indirect_e1_se,Table 7,pipeline,0.016,TRUE,3
t7_direct_e2_coef,Table 7,pipeline,-0.014,TRUE,3
t7_direct_e2_se,Table 7,pipeline,0.057,TRUE,3
t7_indirect_e2_coef,Table 7,pipeline,0.004,TRUE,3
t7_indirect_e2_se,Table 7,pipeline,0.045,TRUE,3
t7_direct_e3_coef,Table 7,pipeline,0.018,TRUE,3
t7_direct_e3_se,Table 7,pipeline,0.009,TRUE,3
t7_indirect_e3_coef,Table 7,pipeline,0.018,TRUE,3
t7_indirect_e3_se,Table 7,pipeline,0.007,TRUE,3
t7_direct_e4_coef,Table 7,pipeline,-0.012,TRUE,3
t7_direct_e4_se,Table 7,pipeline,0.026,TRUE,3
t7_indirect_e4_coef,Table 7,pipeline,-0.020,TRUE,3
t7_indirect_e4_se,Table 7,pipeline,0.021,TRUE,3
t7_direct_pooled_coef,Table 7,pipeline,0.017,TRUE,3
t7_direct_pooled_se,Table 7,pipeline,0.007,TRUE,3
t7_indirect_pooled_coef,Table 7,pipeline,0.015,TRUE,3
t7_indirect_pooled_se,Table 7,pipeline,0.006,TRUE,3
f2_agnostic_prior_mean,Figure 2,pipeline,0.000,TRUE,3
f2_agnostic_prior_sd,Figure 2,pipeline,0.050,TRUE,3
f2_agnostic_prior_pr,Figure 2,pipeline,0.500,TRUE,3
f2_agnostic_u1_mean,Figure 2,pipeline,0.022,TRUE,3
f2_agnostic_u1_sd,Figure 2,pipeline,0.016,TRUE,3
f2_agnostic_u1_pr,Figure 2,pipeline,0.915,TRUE,3
f2_agnostic_u2_mean,Figure 2,pipeline,0.019,TRUE,3
f2_agnostic_u2_sd,Figure 2,pipeline,0.016,TRUE,3
f2_agnostic_u2_pr,Figure 2,pipeline,0.895,TRUE,3
f2_agnostic_u3_mean,Figure 2,pipeline,0.019,TRUE,3
f2_agnostic_u3_sd,Figure 2,pipeline,0.008,TRUE,3
f2_agnostic_u3_pr,Figure 2,pipeline,0.993,TRUE,3
f2_agnostic_u4_mean,Figure 2,pipeline,0.016,TRUE,3
f2_agnostic_u4_sd,Figure 2,pipeline,0.007,TRUE,3
f2_agnostic_u4_pr,Figure 2,pipeline,0.988,TRUE,3
f2_optimist_prior_mean,Figure 2,pipeline,0.050,TRUE,3
f2_optimist_prior_sd,Figure 2,pipeline,0.050,TRUE,3
f2_optimist_prior_pr,Figure 2,pipeline,0.841,TRUE,3
f2_optimist_u1_mean,Figure 2,pipeline,0.027,TRUE,3
f2_optimist_u1_sd,Figure 2,pipeline,0.016,TRUE,3
f2_optimist_u1_pr,Figure 2,pipeline,0.955,TRUE,3
f2_optimist_u2_mean,Figure 2,pipeline,0.024,TRUE,3
f2_optimist_u2_sd,Figure 2,pipeline,0.016,TRUE,3
f2_optimist_u2_pr,Figure 2,pipeline,0.941,TRUE,3
f2_optimist_u3_mean,Figure 2,pipeline,0.020,TRUE,3
f2_optimist_u3_sd,Figure 2,pipeline,0.008,TRUE,3
f2_optimist_u3_pr,Figure 2,pipeline,0.996,TRUE,3
f2_optimist_u4_mean,Figure 2,pipeline,0.017,TRUE,3
f2_optimist_u4_sd,Figure 2,pipeline,0.007,TRUE,3
f2_optimist_u4_pr,Figure 2,pipeline,0.991,TRUE,3
f2_skeptic_prior_mean,Figure 2,pipeline,0.000,TRUE,3
f2_skeptic_prior_sd,Figure 2,pipeline,0.010,TRUE,3
f2_skeptic_prior_pr,Figure 2,pipeline,0.500,TRUE,3
f2_skeptic_u1_mean,Figure 2,pipeline,0.006,TRUE,3
f2_skeptic_u1_sd,Figure 2,pipeline,0.009,TRUE,3
f2_skeptic_u1_pr,Figure 2,pipeline,0.768,TRUE,3
f2_skeptic_u2_mean,Figure 2,pipeline,0.006,TRUE,3
f2_skeptic_u2_sd,Figure 2,pipeline,0.009,TRUE,3
f2_skeptic_u2_pr,Figure 2,pipeline,0.754,TRUE,3
f2_skeptic_u3_mean,Figure 2,pipeline,0.012,TRUE,3
f2_skeptic_u3_sd,Figure 2,pipeline,0.006,TRUE,3
f2_skeptic_u3_pr,Figure 2,pipeline,0.977,TRUE,3
f2_skeptic_u4_mean,Figure 2,pipeline,0.011,TRUE,3
f2_skeptic_u4_sd,Figure 2,pipeline,0.006,TRUE,3
f2_skeptic_u4_pr,Figure 2,pipeline,0.966,TRUE,3
c1_margin_m1_treated_coef,Table C.1,pipeline,15.582,TRUE,3
c1_margin_m1_treated_se,Table C.1,pipeline,28.327,TRUE,3
c1_margin_m2_treated_coef,Table C.1,pipeline,34.786,TRUE,3
c1_margin_m2_treated_se,Table C.1,pipeline,18.207,TRUE,3
c1_turnout_m1_treated_coef,Table C.1,pipeline,53.002,TRUE,3
c1_turnout_m1_treated_se,Table C.1,pipeline,48.748,TRUE,3
c1_turnout_m2_treated_coef,Table C.1,pipeline,10.331,TRUE,3
c1_turnout_m2_treated_se,Table C.1,pipeline,15.741,TRUE,3
c1_margin_m1_adjacent_coef,Table C.1,pipeline,-9.242,TRUE,3
c1_margin_m1_adjacent_se,Table C.1,pipeline,27.305,TRUE,3
c1_margin_m2_adjacent_coef,Table C.1,pipeline,11.713,TRUE,3
c1_margin_m2_adjacent_se,Table C.1,pipeline,17.885,TRUE,3
c1_turnout_m1_adjacent_coef,Table C.1,pipeline,110.329,TRUE,3
c1_turnout_m1_adjacent_se,Table C.1,pipeline,52.796,TRUE,3
c1_turnout_m2_adjacent_coef,Table C.1,pipeline,11.914,TRUE,3
c1_turnout_m2_adjacent_se,Table C.1,pipeline,11.759,TRUE,3
c1_margin_m1_constant_coef,Table C.1,pipeline,-95.074,TRUE,3
c1_margin_m1_constant_se,Table C.1,pipeline,23.803,TRUE,3
c1_margin_m2_constant_coef,Table C.1,pipeline,-60.879,TRUE,3
c1_margin_m2_constant_se,Table C.1,pipeline,15.423,TRUE,3
c1_turnout_m1_constant_coef,Table C.1,pipeline,448.835,TRUE,3
c1_turnout_m1_constant_se,Table C.1,pipeline,34.762,TRUE,3
c1_turnout_m2_constant_coef,Table C.1,pipeline,32.504,TRUE,3
c1_turnout_m2_constant_se,Table C.1,pipeline,19.343,TRUE,3
c2_margin_m1_treated_coef,Table C.2,pipeline,24.673,TRUE,3
c2_margin_m1_treated_se,Table C.2,pipeline,17.196,TRUE,3
c2_margin_m2_treated_coef,Table C.2,pipeline,4.427,TRUE,3
c2_margin_m2_treated_se,Table C.2,pipeline,14.470,TRUE,3
c2_turnout_m1_treated_coef,Table C.2,pipeline,38.407,TRUE,3
c2_turnout_m1_treated_se,Table C.2,pipeline,23.037,TRUE,3
c2_turnout_m2_treated_coef,Table C.2,pipeline,9.029,TRUE,3
c2_turnout_m2_treated_se,Table C.2,pipeline,13.372,TRUE,3
c2_margin_m1_adjacent_coef,Table C.2,pipeline,21.436,TRUE,3
c2_margin_m1_adjacent_se,Table C.2,pipeline,12.565,TRUE,3
c2_margin_m2_adjacent_coef,Table C.2,pipeline,5.563,TRUE,3
c2_margin_m2_adjacent_se,Table C.2,pipeline,12.363,TRUE,3
c2_turnout_m1_adjacent_coef,Table C.2,pipeline,33.191,TRUE,3
c2_turnout_m1_adjacent_se,Table C.2,pipeline,15.131,TRUE,3
c2_turnout_m2_adjacent_coef,Table C.2,pipeline,8.012,TRUE,3
c2_turnout_m2_adjacent_se,Table C.2,pipeline,11.276,TRUE,3
c2_margin_m1_constant_coef,Table C.2,pipeline,32.415,TRUE,3
c2_margin_m1_constant_se,Table C.2,pipeline,9.733,TRUE,3
c2_margin_m2_constant_coef,Table C.2,pipeline,-30.993,TRUE,3
c2_margin_m2_constant_se,Table C.2,pipeline,15.629,TRUE,3
c2_turnout_m1_constant_coef,Table C.2,pipeline,92.776,TRUE,3
c2_turnout_m1_constant_se,Table C.2,pipeline,11.927,TRUE,3
c2_turnout_m2_constant_coef,Table C.2,pipeline,-43.402,TRUE,3
c2_turnout_m2_constant_se,Table C.2,pipeline,15.695,TRUE,3
c3_margin_m1_treated_coef,Table C.3,pipeline,84.697,TRUE,3
